nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1458 (0.1432) xyz.shape=torch.Size([355968, 3]): :  89% 4293/4800 [15:28<01:32,  5.50it/s]
loss=0.1427 (0.1432) xyz.shape=torch.Size([355712, 3]): :  89% 4293/4800 [15:29<01:32,  5.50it/s]
loss=0.1427 (0.1432) xyz.shape=torch.Size([355712, 3]): :  89% 4294/4800 [15:29<02:05,  4.02it/s]
loss=0.1466 (0.1432) xyz.shape=torch.Size([355968, 3]): :  89% 4294/4800 [15:29<02:05,  4.02it/s]
loss=0.1466 (0.1432) xyz.shape=torch.Size([355968, 3]): :  89% 4295/4800 [15:29<01:52,  4.49it/s]
loss=0.1396 (0.1432) xyz.shape=torch.Size([352384, 3]): :  89% 4295/4800 [15:29<01:52,  4.49it/s]
loss=0.1396 (0.1432) xyz.shape=torch.Size([352384, 3]): :  90% 4296/4800 [15:29<01:42,  4.91it/s]
loss=0.1451 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4296/4800 [15:29<01:42,  4.91it/s]
loss=0.1451 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4297/4800 [15:29<01:35,  5.24it/s]
loss=0.1478 (0.1432) xyz.shape=torch.Size([352768, 3]): :  90% 4297/4800 [15:29<01:35,  5.24it/s]
loss=0.1478 (0.1432) xyz.shape=torch.Size([352768, 3]): :  90% 4298/4800 [15:29<01:31,  5.50it/s]
loss=0.1404 (0.1432) xyz.shape=torch.Size([354176, 3]): :  90% 4298/4800 [15:30<01:31,  5.50it/s]
loss=0.1404 (0.1432) xyz.shape=torch.Size([354176, 3]): :  90% 4299/4800 [15:30<02:04,  4.03it/s]
loss=0.1422 (0.1432) xyz.shape=torch.Size([349056, 3]): :  90% 4299/4800 [15:30<02:04,  4.03it/s]
loss=0.1422 (0.1432) xyz.shape=torch.Size([349056, 3]): :  90% 4300/4800 [15:30<01:50,  4.51it/s]
loss=0.1459 (0.1432) xyz.shape=torch.Size([345600, 3]): :  90% 4300/4800 [15:30<01:50,  4.51it/s]
loss=0.1459 (0.1432) xyz.shape=torch.Size([345600, 3]): :  90% 4301/4800 [15:30<01:41,  4.92it/s]
loss=0.1354 (0.1432) xyz.shape=torch.Size([355584, 3]): :  90% 4301/4800 [15:30<01:41,  4.92it/s]
loss=0.1354 (0.1432) xyz.shape=torch.Size([355584, 3]): :  90% 4302/4800 [15:30<01:35,  5.23it/s]
loss=0.1426 (0.1432) xyz.shape=torch.Size([351744, 3]): :  90% 4302/4800 [15:30<01:35,  5.23it/s]
loss=0.1426 (0.1432) xyz.shape=torch.Size([351744, 3]): :  90% 4303/4800 [15:30<01:30,  5.48it/s]
loss=0.1444 (0.1432) xyz.shape=torch.Size([352512, 3]): :  90% 4303/4800 [15:31<01:30,  5.48it/s]
loss=0.1444 (0.1432) xyz.shape=torch.Size([352512, 3]): :  90% 4304/4800 [15:31<02:07,  3.88it/s]
loss=0.1470 (0.1432) xyz.shape=torch.Size([344064, 3]): :  90% 4304/4800 [15:31<02:07,  3.88it/s]
loss=0.1470 (0.1432) xyz.shape=torch.Size([344064, 3]): :  90% 4305/4800 [15:31<01:53,  4.37it/s]
loss=0.1436 (0.1432) xyz.shape=torch.Size([351360, 3]): :  90% 4305/4800 [15:31<01:53,  4.37it/s]
loss=0.1436 (0.1432) xyz.shape=torch.Size([351360, 3]): :  90% 4306/4800 [15:31<01:43,  4.80it/s]
loss=0.1515 (0.1432) xyz.shape=torch.Size([350976, 3]): :  90% 4306/4800 [15:31<01:43,  4.80it/s]
loss=0.1515 (0.1432) xyz.shape=torch.Size([350976, 3]): :  90% 4307/4800 [15:31<01:35,  5.14it/s]
loss=0.1469 (0.1432) xyz.shape=torch.Size([356352, 3]): :  90% 4307/4800 [15:31<01:35,  5.14it/s]
loss=0.1469 (0.1432) xyz.shape=torch.Size([356352, 3]): :  90% 4308/4800 [15:31<01:30,  5.43it/s]
loss=0.1498 (0.1432) xyz.shape=torch.Size([355200, 3]): :  90% 4308/4800 [15:32<01:30,  5.43it/s]
loss=0.1498 (0.1432) xyz.shape=torch.Size([355200, 3]): :  90% 4309/4800 [15:32<02:05,  3.91it/s]
loss=0.1397 (0.1432) xyz.shape=torch.Size([354944, 3]): :  90% 4309/4800 [15:32<02:05,  3.91it/s]
loss=0.1397 (0.1432) xyz.shape=torch.Size([354944, 3]): :  90% 4310/4800 [15:32<01:51,  4.40it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([351488, 3]): :  90% 4310/4800 [15:32<01:51,  4.40it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([351488, 3]): :  90% 4311/4800 [15:32<01:41,  4.81it/s]
loss=0.1408 (0.1432) xyz.shape=torch.Size([356096, 3]): :  90% 4311/4800 [15:32<01:41,  4.81it/s]
loss=0.1408 (0.1432) xyz.shape=torch.Size([356096, 3]): :  90% 4312/4800 [15:32<01:34,  5.17it/s]
loss=0.1362 (0.1432) xyz.shape=torch.Size([346624, 3]): :  90% 4312/4800 [15:32<01:34,  5.17it/s]
loss=0.1362 (0.1432) xyz.shape=torch.Size([346624, 3]): :  90% 4313/4800 [15:32<01:29,  5.45it/s]
loss=0.1418 (0.1432) xyz.shape=torch.Size([357376, 3]): :  90% 4313/4800 [15:33<01:29,  5.45it/s]
loss=0.1418 (0.1432) xyz.shape=torch.Size([357376, 3]): :  90% 4314/4800 [15:33<02:02,  3.97it/s]
loss=0.1468 (0.1432) xyz.shape=torch.Size([351488, 3]): :  90% 4314/4800 [15:33<02:02,  3.97it/s]
loss=0.1468 (0.1432) xyz.shape=torch.Size([351488, 3]): :  90% 4315/4800 [15:33<01:48,  4.45it/s]
loss=0.1457 (0.1432) xyz.shape=torch.Size([346240, 3]): :  90% 4315/4800 [15:33<01:48,  4.45it/s]
loss=0.1457 (0.1432) xyz.shape=torch.Size([346240, 3]): :  90% 4316/4800 [15:33<01:39,  4.88it/s]
loss=0.1425 (0.1432) xyz.shape=torch.Size([352000, 3]): :  90% 4316/4800 [15:33<01:39,  4.88it/s]
loss=0.1425 (0.1432) xyz.shape=torch.Size([352000, 3]): :  90% 4317/4800 [15:33<01:32,  5.22it/s]
loss=0.1474 (0.1432) xyz.shape=torch.Size([352640, 3]): :  90% 4317/4800 [15:33<01:32,  5.22it/s]
loss=0.1474 (0.1432) xyz.shape=torch.Size([352640, 3]): :  90% 4318/4800 [15:33<01:27,  5.48it/s]
loss=0.1448 (0.1432) xyz.shape=torch.Size([348928, 3]): :  90% 4318/4800 [15:34<01:27,  5.48it/s]
loss=0.1448 (0.1432) xyz.shape=torch.Size([348928, 3]): :  90% 4319/4800 [15:34<02:02,  3.92it/s]
loss=0.1496 (0.1432) xyz.shape=torch.Size([352000, 3]): :  90% 4319/4800 [15:34<02:02,  3.92it/s]
loss=0.1496 (0.1432) xyz.shape=torch.Size([352000, 3]): :  90% 4320/4800 [15:34<01:48,  4.40it/s]
loss=0.1464 (0.1432) xyz.shape=torch.Size([351360, 3]): :  90% 4320/4800 [15:34<01:48,  4.40it/s]
loss=0.1464 (0.1432) xyz.shape=torch.Size([351360, 3]): :  90% 4321/4800 [15:34<01:41,  4.73it/s]
loss=0.1421 (0.1432) xyz.shape=torch.Size([350336, 3]): :  90% 4321/4800 [15:34<01:41,  4.73it/s]
loss=0.1421 (0.1432) xyz.shape=torch.Size([350336, 3]): :  90% 4322/4800 [15:34<01:33,  5.10it/s]
loss=0.1472 (0.1432) xyz.shape=torch.Size([345088, 3]): :  90% 4322/4800 [15:35<01:33,  5.10it/s]
loss=0.1472 (0.1432) xyz.shape=torch.Size([345088, 3]): :  90% 4323/4800 [15:35<01:28,  5.40it/s]
loss=0.1461 (0.1432) xyz.shape=torch.Size([349824, 3]): :  90% 4323/4800 [15:35<01:28,  5.40it/s]
loss=0.1461 (0.1432) xyz.shape=torch.Size([349824, 3]): :  90% 4324/4800 [15:35<01:58,  4.00it/s]
loss=0.1361 (0.1432) xyz.shape=torch.Size([352768, 3]): :  90% 4324/4800 [15:35<01:58,  4.00it/s]
loss=0.1361 (0.1432) xyz.shape=torch.Size([352768, 3]): :  90% 4325/4800 [15:35<01:46,  4.48it/s]
loss=0.1360 (0.1432) xyz.shape=torch.Size([347648, 3]): :  90% 4325/4800 [15:35<01:46,  4.48it/s]
loss=0.1360 (0.1432) xyz.shape=torch.Size([347648, 3]): :  90% 4326/4800 [15:35<01:36,  4.89it/s]
loss=0.1450 (0.1432) xyz.shape=torch.Size([347520, 3]): :  90% 4326/4800 [15:35<01:36,  4.89it/s]
loss=0.1450 (0.1432) xyz.shape=torch.Size([347520, 3]): :  90% 4327/4800 [15:35<01:30,  5.22it/s]
loss=0.1417 (0.1432) xyz.shape=torch.Size([354048, 3]): :  90% 4327/4800 [15:36<01:30,  5.22it/s]
loss=0.1417 (0.1432) xyz.shape=torch.Size([354048, 3]): :  90% 4328/4800 [15:36<01:26,  5.47it/s]
loss=0.1467 (0.1432) xyz.shape=torch.Size([350720, 3]): :  90% 4328/4800 [15:36<01:26,  5.47it/s]
loss=0.1467 (0.1432) xyz.shape=torch.Size([350720, 3]): :  90% 4329/4800 [15:36<01:23,  5.67it/s]
loss=0.1443 (0.1432) xyz.shape=torch.Size([349952, 3]): :  90% 4329/4800 [15:36<01:23,  5.67it/s]
loss=0.1443 (0.1432) xyz.shape=torch.Size([349952, 3]): :  90% 4330/4800 [15:36<01:54,  4.11it/s]
loss=0.1454 (0.1432) xyz.shape=torch.Size([356096, 3]): :  90% 4330/4800 [15:36<01:54,  4.11it/s]
loss=0.1454 (0.1432) xyz.shape=torch.Size([356096, 3]): :  90% 4331/4800 [15:36<01:42,  4.58it/s]
loss=0.1399 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4331/4800 [15:36<01:42,  4.58it/s]
loss=0.1399 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4332/4800 [15:36<01:34,  4.97it/s]
loss=0.1444 (0.1432) xyz.shape=torch.Size([350720, 3]): :  90% 4332/4800 [15:37<01:34,  4.97it/s]
loss=0.1444 (0.1432) xyz.shape=torch.Size([350720, 3]): :  90% 4333/4800 [15:37<01:28,  5.29it/s]
loss=0.1460 (0.1432) xyz.shape=torch.Size([358528, 3]): :  90% 4333/4800 [15:37<01:28,  5.29it/s]
loss=0.1460 (0.1432) xyz.shape=torch.Size([358528, 3]): :  90% 4334/4800 [15:37<01:24,  5.53it/s]
loss=0.1392 (0.1432) xyz.shape=torch.Size([360192, 3]): :  90% 4334/4800 [15:37<01:24,  5.53it/s]
loss=0.1392 (0.1432) xyz.shape=torch.Size([360192, 3]): :  90% 4335/4800 [15:37<01:55,  4.03it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4335/4800 [15:37<01:55,  4.03it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([354304, 3]): :  90% 4336/4800 [15:37<01:42,  4.51it/s]
loss=0.1431 (0.1432) xyz.shape=torch.Size([357760, 3]): :  90% 4336/4800 [15:38<01:42,  4.51it/s]
loss=0.1431 (0.1432) xyz.shape=torch.Size([357760, 3]): :  90% 4337/4800 [15:38<01:34,  4.88it/s]
loss=0.1380 (0.1432) xyz.shape=torch.Size([354432, 3]): :  90% 4337/4800 [15:38<01:34,  4.88it/s]
loss=0.1380 (0.1432) xyz.shape=torch.Size([354432, 3]): :  90% 4338/4800 [15:38<01:30,  5.12it/s]
loss=0.1429 (0.1432) xyz.shape=torch.Size([353280, 3]): :  90% 4338/4800 [15:38<01:30,  5.12it/s]
loss=0.1429 (0.1432) xyz.shape=torch.Size([353280, 3]): :  90% 4339/4800 [15:38<01:25,  5.40it/s]
loss=0.1436 (0.1432) xyz.shape=torch.Size([361344, 3]): :  90% 4339/4800 [15:38<01:25,  5.40it/s]
loss=0.1436 (0.1432) xyz.shape=torch.Size([361344, 3]): :  90% 4340/4800 [15:38<01:54,  4.00it/s]
loss=0.1388 (0.1432) xyz.shape=torch.Size([361344, 3]): :  90% 4340/4800 [15:38<01:54,  4.00it/s]
loss=0.1388 (0.1432) xyz.shape=torch.Size([361344, 3]): :  90% 4341/4800 [15:38<01:42,  4.48it/s]
loss=0.1492 (0.1432) xyz.shape=torch.Size([354176, 3]): :  90% 4341/4800 [15:39<01:42,  4.48it/s]
loss=0.1492 (0.1432) xyz.shape=torch.Size([354176, 3]): :  90% 4342/4800 [15:39<01:33,  4.89it/s]
loss=0.1545 (0.1432) xyz.shape=torch.Size([356352, 3]): :  90% 4342/4800 [15:39<01:33,  4.89it/s]
loss=0.1545 (0.1432) xyz.shape=torch.Size([356352, 3]): :  90% 4343/4800 [15:39<01:27,  5.23it/s]
loss=0.1433 (0.1432) xyz.shape=torch.Size([360960, 3]): :  90% 4343/4800 [15:39<01:27,  5.23it/s]
loss=0.1433 (0.1432) xyz.shape=torch.Size([360960, 3]): :  90% 4344/4800 [15:39<01:22,  5.50it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([355712, 3]): :  90% 4344/4800 [15:39<01:22,  5.50it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([355712, 3]): :  91% 4345/4800 [15:39<01:52,  4.04it/s]
loss=0.1315 (0.1432) xyz.shape=torch.Size([354560, 3]): :  91% 4345/4800 [15:39<01:52,  4.04it/s]
loss=0.1315 (0.1432) xyz.shape=torch.Size([354560, 3]): :  91% 4346/4800 [15:39<01:40,  4.51it/s]
loss=0.1471 (0.1432) xyz.shape=torch.Size([350720, 3]): :  91% 4346/4800 [15:40<01:40,  4.51it/s]
loss=0.1471 (0.1432) xyz.shape=torch.Size([350720, 3]): :  91% 4347/4800 [15:40<01:32,  4.92it/s]
loss=0.1384 (0.1432) xyz.shape=torch.Size([356352, 3]): :  91% 4347/4800 [15:40<01:32,  4.92it/s]
loss=0.1384 (0.1432) xyz.shape=torch.Size([356352, 3]): :  91% 4348/4800 [15:40<01:26,  5.26it/s]
loss=0.1437 (0.1432) xyz.shape=torch.Size([350208, 3]): :  91% 4348/4800 [15:40<01:26,  5.26it/s]
loss=0.1437 (0.1432) xyz.shape=torch.Size([350208, 3]): :  91% 4349/4800 [15:40<01:21,  5.51it/s]
loss=0.1464 (0.1432) xyz.shape=torch.Size([353280, 3]): :  91% 4349/4800 [15:40<01:21,  5.51it/s]
loss=0.1464 (0.1432) xyz.shape=torch.Size([353280, 3]): :  91% 4350/4800 [15:40<01:51,  4.03it/s]
loss=0.1388 (0.1432) xyz.shape=torch.Size([351104, 3]): :  91% 4350/4800 [15:41<01:51,  4.03it/s]
loss=0.1388 (0.1432) xyz.shape=torch.Size([351104, 3]): :  91% 4351/4800 [15:41<01:39,  4.50it/s]
loss=0.1488 (0.1432) xyz.shape=torch.Size([357632, 3]): :  91% 4351/4800 [15:41<01:39,  4.50it/s]
loss=0.1488 (0.1432) xyz.shape=torch.Size([357632, 3]): :  91% 4352/4800 [15:41<01:31,  4.91it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([355584, 3]): :  91% 4352/4800 [15:41<01:31,  4.91it/s]
loss=0.1484 (0.1432) xyz.shape=torch.Size([355584, 3]): :  91% 4353/4800 [15:41<01:25,  5.24it/s]
loss=0.1421 (0.1432) xyz.shape=torch.Size([346112, 3]): :  91% 4353/4800 [15:41<01:25,  5.24it/s]
loss=0.1421 (0.1432) xyz.shape=torch.Size([346112, 3]): :  91% 4354/4800 [15:41<01:21,  5.50it/s]
loss=0.1397 (0.1432) xyz.shape=torch.Size([354048, 3]): :  91% 4354/4800 [15:41<01:21,  5.50it/s]
loss=0.1397 (0.1432) xyz.shape=torch.Size([354048, 3]): :  91% 4355/4800 [15:41<01:49,  4.05it/s]
loss=0.1522 (0.1432) xyz.shape=torch.Size([344960, 3]): :  91% 4355/4800 [15:42<01:49,  4.05it/s]
loss=0.1522 (0.1432) xyz.shape=torch.Size([344960, 3]): :  91% 4356/4800 [15:42<01:38,  4.52it/s]
loss=0.1378 (0.1432) xyz.shape=torch.Size([350464, 3]): :  91% 4356/4800 [15:42<01:38,  4.52it/s]
loss=0.1378 (0.1432) xyz.shape=torch.Size([350464, 3]): :  91% 4357/4800 [15:42<01:31,  4.85it/s]
loss=0.1474 (0.1432) xyz.shape=torch.Size([345472, 3]): :  91% 4357/4800 [15:42<01:31,  4.85it/s]
loss=0.1474 (0.1432) xyz.shape=torch.Size([345472, 3]): :  91% 4358/4800 [15:42<01:25,  5.20it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([350208, 3]): :  91% 4358/4800 [15:42<01:25,  5.20it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([350208, 3]): :  91% 4359/4800 [15:42<01:20,  5.47it/s]
loss=0.1476 (0.1432) xyz.shape=torch.Size([351104, 3]): :  91% 4359/4800 [15:42<01:20,  5.47it/s]
loss=0.1476 (0.1432) xyz.shape=torch.Size([351104, 3]): :  91% 4360/4800 [15:42<01:50,  3.98it/s]
loss=0.1414 (0.1432) xyz.shape=torch.Size([349568, 3]): :  91% 4360/4800 [15:43<01:50,  3.98it/s]
loss=0.1414 (0.1432) xyz.shape=torch.Size([349568, 3]): :  91% 4361/4800 [15:43<01:38,  4.47it/s]
loss=0.1362 (0.1432) xyz.shape=torch.Size([350592, 3]): :  91% 4361/4800 [15:43<01:38,  4.47it/s]
loss=0.1362 (0.1432) xyz.shape=torch.Size([350592, 3]): :  91% 4362/4800 [15:43<01:29,  4.88it/s]
loss=0.1427 (0.1432) xyz.shape=torch.Size([339072, 3]): :  91% 4362/4800 [15:43<01:29,  4.88it/s]
loss=0.1427 (0.1432) xyz.shape=torch.Size([339072, 3]): :  91% 4363/4800 [15:43<01:23,  5.22it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([342912, 3]): :  91% 4363/4800 [15:43<01:23,  5.22it/s]
loss=0.1445 (0.1432) xyz.shape=torch.Size([342912, 3]): :  91% 4364/4800 [15:43<01:19,  5.47it/s]
loss=0.1425 (0.1432) xyz.shape=torch.Size([343680, 3]): :  91% 4364/4800 [15:44<01:19,  5.47it/s]
loss=0.1425 (0.1432) xyz.shape=torch.Size([343680, 3]): :  91% 4365/4800 [15:44<01:49,  3.98it/s]
loss=0.1485 (0.1432) xyz.shape=torch.Size([342016, 3]): :  91% 4365/4800 [15:44<01:49,  3.98it/s]
loss=0.1485 (0.1432) xyz.shape=torch.Size([342016, 3]): :  91% 4366/4800 [15:44<01:37,  4.46it/s]
loss=0.1398 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4366/4800 [15:44<01:37,  4.46it/s]
loss=0.1398 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4367/4800 [15:44<01:29,  4.86it/s]
loss=0.1438 (0.1432) xyz.shape=torch.Size([345088, 3]): :  91% 4367/4800 [15:44<01:29,  4.86it/s]
loss=0.1438 (0.1432) xyz.shape=torch.Size([345088, 3]): :  91% 4368/4800 [15:44<01:23,  5.15it/s]
loss=0.1440 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4368/4800 [15:44<01:23,  5.15it/s]
loss=0.1440 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4369/4800 [15:44<01:19,  5.42it/s]
loss=0.1395 (0.1432) xyz.shape=torch.Size([343040, 3]): :  91% 4369/4800 [15:45<01:19,  5.42it/s]
loss=0.1395 (0.1432) xyz.shape=torch.Size([343040, 3]): :  91% 4370/4800 [15:45<01:48,  3.97it/s]
loss=0.1476 (0.1432) xyz.shape=torch.Size([340608, 3]): :  91% 4370/4800 [15:45<01:48,  3.97it/s]
loss=0.1476 (0.1432) xyz.shape=torch.Size([340608, 3]): :  91% 4371/4800 [15:45<01:37,  4.41it/s]
loss=0.1483 (0.1432) xyz.shape=torch.Size([343808, 3]): :  91% 4371/4800 [15:45<01:37,  4.41it/s]
loss=0.1483 (0.1432) xyz.shape=torch.Size([343808, 3]): :  91% 4372/4800 [15:45<01:28,  4.84it/s]
loss=0.1478 (0.1432) xyz.shape=torch.Size([346112, 3]): :  91% 4372/4800 [15:45<01:28,  4.84it/s]
loss=0.1478 (0.1432) xyz.shape=torch.Size([346112, 3]): :  91% 4373/4800 [15:45<01:22,  5.16it/s]
loss=0.1448 (0.1432) xyz.shape=torch.Size([345472, 3]): :  91% 4373/4800 [15:45<01:22,  5.16it/s]
loss=0.1448 (0.1432) xyz.shape=torch.Size([345472, 3]): :  91% 4374/4800 [15:45<01:18,  5.42it/s]
loss=0.1567 (0.1432) xyz.shape=torch.Size([346496, 3]): :  91% 4374/4800 [15:46<01:18,  5.42it/s]
loss=0.1567 (0.1432) xyz.shape=torch.Size([346496, 3]): :  91% 4375/4800 [15:46<01:46,  3.98it/s]
loss=0.1401 (0.1432) xyz.shape=torch.Size([349184, 3]): :  91% 4375/4800 [15:46<01:46,  3.98it/s]
loss=0.1401 (0.1432) xyz.shape=torch.Size([349184, 3]): :  91% 4376/4800 [15:46<01:35,  4.46it/s]
loss=0.1563 (0.1432) xyz.shape=torch.Size([345344, 3]): :  91% 4376/4800 [15:46<01:35,  4.46it/s]
loss=0.1563 (0.1432) xyz.shape=torch.Size([345344, 3]): :  91% 4377/4800 [15:46<01:27,  4.84it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([348032, 3]): :  91% 4377/4800 [15:46<01:27,  4.84it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([348032, 3]): :  91% 4378/4800 [15:46<01:21,  5.18it/s]
loss=0.1477 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4378/4800 [15:46<01:21,  5.18it/s]
loss=0.1477 (0.1432) xyz.shape=torch.Size([345856, 3]): :  91% 4379/4800 [15:46<01:17,  5.41it/s]
loss=0.1475 (0.1432) xyz.shape=torch.Size([346368, 3]): :  91% 4379/4800 [15:46<01:17,  5.41it/s]
loss=0.1475 (0.1432) xyz.shape=torch.Size([346368, 3]): :  91% 4380/4800 [15:46<01:14,  5.61it/s]
loss=0.1483 (0.1432) xyz.shape=torch.Size([343296, 3]): :  91% 4380/4800 [15:47<01:14,  5.61it/s]
loss=0.1483 (0.1432) xyz.shape=torch.Size([343296, 3]): :  91% 4381/4800 [15:47<01:42,  4.08it/s]
loss=0.1380 (0.1432) xyz.shape=torch.Size([342144, 3]): :  91% 4381/4800 [15:47<01:42,  4.08it/s]
loss=0.1380 (0.1432) xyz.shape=torch.Size([342144, 3]): :  91% 4382/4800 [15:47<01:32,  4.53it/s]
loss=0.1412 (0.1432) xyz.shape=torch.Size([336768, 3]): :  91% 4382/4800 [15:47<01:32,  4.53it/s]
loss=0.1412 (0.1432) xyz.shape=torch.Size([336768, 3]): :  91% 4383/4800 [15:47<01:24,  4.92it/s]
loss=0.1434 (0.1432) xyz.shape=torch.Size([349184, 3]): :  91% 4383/4800 [15:47<01:24,  4.92it/s]
loss=0.1434 (0.1432) xyz.shape=torch.Size([349184, 3]): :  91% 4384/4800 [15:47<01:19,  5.21it/s]
loss=0.1482 (0.1432) xyz.shape=torch.Size([343808, 3]): :  91% 4384/4800 [15:48<01:19,  5.21it/s]
loss=0.1482 (0.1432) xyz.shape=torch.Size([343808, 3]): :  91% 4385/4800 [15:48<01:16,  5.44it/s]
loss=0.1466 (0.1432) xyz.shape=torch.Size([346880, 3]): :  91% 4385/4800 [15:48<01:16,  5.44it/s]
loss=0.1466 (0.1432) xyz.shape=torch.Size([346880, 3]): :  91% 4386/4800 [15:48<01:43,  4.01it/s]
loss=0.1392 (0.1432) xyz.shape=torch.Size([348544, 3]): :  91% 4386/4800 [15:48<01:43,  4.01it/s]
loss=0.1392 (0.1432) xyz.shape=torch.Size([348544, 3]): :  91% 4387/4800 [15:48<01:31,  4.49it/s]
loss=0.1460 (0.1432) xyz.shape=torch.Size([341760, 3]): :  91% 4387/4800 [15:48<01:31,  4.49it/s]
loss=0.1460 (0.1432) xyz.shape=torch.Size([341760, 3]): :  91% 4388/4800 [15:48<01:24,  4.88it/s]
loss=0.1460 (0.1432) xyz.shape=torch.Size([351104, 3]): :  91% 4388/4800 [15:48<01:24,  4.88it/s]
