nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.0021 (0.0022): :  81% 3870/4800 [18:44<04:08,  3.74it/s]
loss=0.0019 (0.0022): :  81% 3870/4800 [18:44<04:08,  3.74it/s]
loss=0.0019 (0.0022): :  81% 3871/4800 [18:44<03:59,  3.88it/s]
loss=0.0018 (0.0022): :  81% 3871/4800 [18:45<03:59,  3.88it/s]
loss=0.0018 (0.0022): :  81% 3872/4800 [18:45<04:58,  3.11it/s]
loss=0.0025 (0.0022): :  81% 3872/4800 [18:45<04:58,  3.11it/s]
loss=0.0025 (0.0022): :  81% 3873/4800 [18:45<04:33,  3.39it/s]
loss=0.0023 (0.0022): :  81% 3873/4800 [18:45<04:33,  3.39it/s]
loss=0.0023 (0.0022): :  81% 3874/4800 [18:45<04:16,  3.61it/s]
loss=0.0018 (0.0022): :  81% 3874/4800 [18:46<04:16,  3.61it/s]
loss=0.0018 (0.0022): :  81% 3875/4800 [18:46<04:04,  3.78it/s]
loss=0.0023 (0.0022): :  81% 3875/4800 [18:46<04:04,  3.78it/s]
loss=0.0023 (0.0022): :  81% 3876/4800 [18:46<03:56,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3876/4800 [18:46<03:56,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3877/4800 [18:46<04:56,  3.11it/s]
loss=0.0019 (0.0022): :  81% 3877/4800 [18:47<04:56,  3.11it/s]
loss=0.0019 (0.0022): :  81% 3878/4800 [18:47<04:32,  3.38it/s]
loss=0.0021 (0.0022): :  81% 3878/4800 [18:47<04:32,  3.38it/s]
loss=0.0021 (0.0022): :  81% 3879/4800 [18:47<04:15,  3.60it/s]
loss=0.0022 (0.0022): :  81% 3879/4800 [18:47<04:15,  3.60it/s]
loss=0.0022 (0.0022): :  81% 3880/4800 [18:47<04:03,  3.77it/s]
loss=0.0025 (0.0022): :  81% 3880/4800 [18:47<04:03,  3.77it/s]
loss=0.0025 (0.0022): :  81% 3881/4800 [18:47<03:55,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3881/4800 [18:48<03:55,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3882/4800 [18:48<04:54,  3.12it/s]
loss=0.0021 (0.0022): :  81% 3882/4800 [18:48<04:54,  3.12it/s]
loss=0.0021 (0.0022): :  81% 3883/4800 [18:48<04:31,  3.38it/s]
loss=0.0023 (0.0022): :  81% 3883/4800 [18:48<04:31,  3.38it/s]
loss=0.0023 (0.0022): :  81% 3884/4800 [18:48<04:14,  3.60it/s]
loss=0.0020 (0.0022): :  81% 3884/4800 [18:48<04:14,  3.60it/s]
loss=0.0020 (0.0022): :  81% 3885/4800 [18:48<04:02,  3.77it/s]
loss=0.0028 (0.0022): :  81% 3885/4800 [18:49<04:02,  3.77it/s]
loss=0.0028 (0.0022): :  81% 3886/4800 [18:49<03:54,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3886/4800 [18:49<03:54,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3887/4800 [18:49<03:48,  4.00it/s]
loss=0.0023 (0.0022): :  81% 3887/4800 [18:49<03:48,  4.00it/s]
loss=0.0023 (0.0022): :  81% 3888/4800 [18:49<04:47,  3.17it/s]
loss=0.0020 (0.0022): :  81% 3888/4800 [18:50<04:47,  3.17it/s]
loss=0.0020 (0.0022): :  81% 3889/4800 [18:50<04:26,  3.42it/s]
loss=0.0020 (0.0022): :  81% 3889/4800 [18:50<04:26,  3.42it/s]
loss=0.0020 (0.0022): :  81% 3890/4800 [18:50<04:11,  3.62it/s]
loss=0.0022 (0.0022): :  81% 3890/4800 [18:50<04:11,  3.62it/s]
loss=0.0022 (0.0022): :  81% 3891/4800 [18:50<04:00,  3.79it/s]
loss=0.0019 (0.0022): :  81% 3891/4800 [18:50<04:00,  3.79it/s]
loss=0.0019 (0.0022): :  81% 3892/4800 [18:50<03:52,  3.91it/s]
loss=0.0016 (0.0022): :  81% 3892/4800 [18:51<03:52,  3.91it/s]
loss=0.0016 (0.0022): :  81% 3893/4800 [18:51<04:49,  3.13it/s]
loss=0.0019 (0.0022): :  81% 3893/4800 [18:51<04:49,  3.13it/s]
loss=0.0019 (0.0022): :  81% 3894/4800 [18:51<04:26,  3.40it/s]
loss=0.0021 (0.0022): :  81% 3894/4800 [18:51<04:26,  3.40it/s]
loss=0.0021 (0.0022): :  81% 3895/4800 [18:51<04:10,  3.62it/s]
loss=0.0027 (0.0022): :  81% 3895/4800 [18:52<04:10,  3.62it/s]
loss=0.0027 (0.0022): :  81% 3896/4800 [18:52<03:59,  3.78it/s]
loss=0.0022 (0.0022): :  81% 3896/4800 [18:52<03:59,  3.78it/s]
loss=0.0022 (0.0022): :  81% 3897/4800 [18:52<03:51,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3897/4800 [18:52<03:51,  3.90it/s]
loss=0.0021 (0.0022): :  81% 3898/4800 [18:52<04:48,  3.13it/s]
loss=0.0020 (0.0022): :  81% 3898/4800 [18:52<04:48,  3.13it/s]
loss=0.0020 (0.0022): :  81% 3899/4800 [18:52<04:25,  3.40it/s]
loss=0.0023 (0.0022): :  81% 3899/4800 [18:53<04:25,  3.40it/s]
loss=0.0023 (0.0022): :  81% 3900/4800 [18:53<04:09,  3.61it/s]
loss=0.0028 (0.0022): :  81% 3900/4800 [18:53<04:09,  3.61it/s]
loss=0.0028 (0.0022): :  81% 3901/4800 [18:53<03:58,  3.77it/s]
loss=0.0024 (0.0022): :  81% 3901/4800 [18:53<03:58,  3.77it/s]
loss=0.0024 (0.0022): :  81% 3902/4800 [18:53<03:50,  3.89it/s]
loss=0.0025 (0.0022): :  81% 3902/4800 [18:54<03:50,  3.89it/s]
loss=0.0025 (0.0022): :  81% 3903/4800 [18:54<04:49,  3.10it/s]
loss=0.0021 (0.0022): :  81% 3903/4800 [18:54<04:49,  3.10it/s]
loss=0.0021 (0.0022): :  81% 3904/4800 [18:54<04:25,  3.37it/s]
loss=0.0021 (0.0022): :  81% 3904/4800 [18:54<04:25,  3.37it/s]
loss=0.0021 (0.0022): :  81% 3905/4800 [18:54<04:09,  3.59it/s]
loss=0.0022 (0.0022): :  81% 3905/4800 [18:54<04:09,  3.59it/s]
loss=0.0022 (0.0022): :  81% 3906/4800 [18:54<03:57,  3.76it/s]
loss=0.0017 (0.0022): :  81% 3906/4800 [18:55<03:57,  3.76it/s]
loss=0.0017 (0.0022): :  81% 3907/4800 [18:55<03:49,  3.89it/s]
loss=0.0023 (0.0022): :  81% 3907/4800 [18:55<03:49,  3.89it/s]
loss=0.0023 (0.0022): :  81% 3908/4800 [18:55<04:47,  3.10it/s]
loss=0.0019 (0.0022): :  81% 3908/4800 [18:55<04:47,  3.10it/s]
loss=0.0019 (0.0022): :  81% 3909/4800 [18:55<04:24,  3.37it/s]
loss=0.0022 (0.0022): :  81% 3909/4800 [18:56<04:24,  3.37it/s]
loss=0.0022 (0.0022): :  81% 3910/4800 [18:56<04:08,  3.58it/s]
loss=0.0022 (0.0022): :  81% 3910/4800 [18:56<04:08,  3.58it/s]
loss=0.0022 (0.0022): :  81% 3911/4800 [18:56<03:57,  3.74it/s]
loss=0.0021 (0.0022): :  81% 3911/4800 [18:56<03:57,  3.74it/s]
loss=0.0021 (0.0022): :  82% 3912/4800 [18:56<03:49,  3.88it/s]
loss=0.0024 (0.0022): :  82% 3912/4800 [18:56<03:49,  3.88it/s]
loss=0.0024 (0.0022): :  82% 3913/4800 [18:56<04:45,  3.11it/s]
loss=0.0019 (0.0022): :  82% 3913/4800 [18:57<04:45,  3.11it/s]
loss=0.0019 (0.0022): :  82% 3914/4800 [18:57<04:22,  3.38it/s]
loss=0.0022 (0.0022): :  82% 3914/4800 [18:57<04:22,  3.38it/s]
loss=0.0022 (0.0022): :  82% 3915/4800 [18:57<04:06,  3.60it/s]
loss=0.0023 (0.0022): :  82% 3915/4800 [18:57<04:06,  3.60it/s]
loss=0.0023 (0.0022): :  82% 3916/4800 [18:57<03:54,  3.76it/s]
loss=0.0023 (0.0022): :  82% 3916/4800 [18:57<03:54,  3.76it/s]
loss=0.0023 (0.0022): :  82% 3917/4800 [18:57<03:46,  3.89it/s]
loss=0.0021 (0.0022): :  82% 3917/4800 [18:58<03:46,  3.89it/s]
loss=0.0021 (0.0022): :  82% 3918/4800 [18:58<04:42,  3.12it/s]
loss=0.0019 (0.0022): :  82% 3918/4800 [18:58<04:42,  3.12it/s]
loss=0.0019 (0.0022): :  82% 3919/4800 [18:58<04:19,  3.39it/s]
loss=0.0023 (0.0022): :  82% 3919/4800 [18:58<04:19,  3.39it/s]
loss=0.0023 (0.0022): :  82% 3920/4800 [18:58<04:03,  3.61it/s]
loss=0.0020 (0.0022): :  82% 3920/4800 [18:59<04:03,  3.61it/s]
loss=0.0020 (0.0022): :  82% 3921/4800 [18:59<03:53,  3.77it/s]
loss=0.0021 (0.0022): :  82% 3921/4800 [18:59<03:53,  3.77it/s]
loss=0.0021 (0.0022): :  82% 3922/4800 [18:59<03:45,  3.90it/s]
loss=0.0023 (0.0022): :  82% 3922/4800 [18:59<03:45,  3.90it/s]
loss=0.0023 (0.0022): :  82% 3923/4800 [18:59<04:41,  3.11it/s]
loss=0.0024 (0.0022): :  82% 3923/4800 [19:00<04:41,  3.11it/s]
loss=0.0024 (0.0022): :  82% 3924/4800 [19:00<04:18,  3.38it/s]
loss=0.0021 (0.0022): :  82% 3924/4800 [19:00<04:18,  3.38it/s]
loss=0.0021 (0.0022): :  82% 3925/4800 [19:00<04:03,  3.60it/s]
loss=0.0021 (0.0022): :  82% 3925/4800 [19:00<04:03,  3.60it/s]
loss=0.0021 (0.0022): :  82% 3926/4800 [19:00<03:52,  3.76it/s]
loss=0.0024 (0.0022): :  82% 3926/4800 [19:00<03:52,  3.76it/s]
loss=0.0024 (0.0022): :  82% 3927/4800 [19:00<03:44,  3.89it/s]
loss=0.0021 (0.0022): :  82% 3927/4800 [19:01<03:44,  3.89it/s]
loss=0.0021 (0.0022): :  82% 3928/4800 [19:01<04:39,  3.12it/s]
loss=0.0021 (0.0022): :  82% 3928/4800 [19:01<04:39,  3.12it/s]
loss=0.0021 (0.0022): :  82% 3929/4800 [19:01<04:16,  3.39it/s]
loss=0.0026 (0.0022): :  82% 3929/4800 [19:01<04:16,  3.39it/s]
loss=0.0026 (0.0022): :  82% 3930/4800 [19:01<04:01,  3.60it/s]
loss=0.0020 (0.0022): :  82% 3930/4800 [19:01<04:01,  3.60it/s]
loss=0.0020 (0.0022): :  82% 3931/4800 [19:01<03:51,  3.75it/s]
loss=0.0024 (0.0022): :  82% 3931/4800 [19:02<03:51,  3.75it/s]
loss=0.0024 (0.0022): :  82% 3932/4800 [19:02<03:44,  3.87it/s]
loss=0.0019 (0.0022): :  82% 3932/4800 [19:02<03:44,  3.87it/s]
loss=0.0019 (0.0022): :  82% 3933/4800 [19:02<04:38,  3.11it/s]
loss=0.0025 (0.0022): :  82% 3933/4800 [19:02<04:38,  3.11it/s]
loss=0.0025 (0.0022): :  82% 3934/4800 [19:02<04:16,  3.37it/s]
loss=0.0018 (0.0022): :  82% 3934/4800 [19:03<04:16,  3.37it/s]
loss=0.0018 (0.0022): :  82% 3935/4800 [19:03<04:01,  3.59it/s]
loss=0.0028 (0.0022): :  82% 3935/4800 [19:03<04:01,  3.59it/s]
loss=0.0028 (0.0022): :  82% 3936/4800 [19:03<03:49,  3.76it/s]
loss=0.0023 (0.0022): :  82% 3936/4800 [19:03<03:49,  3.76it/s]
loss=0.0023 (0.0022): :  82% 3937/4800 [19:03<03:41,  3.89it/s]
loss=0.0018 (0.0022): :  82% 3937/4800 [19:03<03:41,  3.89it/s]
loss=0.0018 (0.0022): :  82% 3938/4800 [19:03<03:36,  3.99it/s]
loss=0.0020 (0.0022): :  82% 3938/4800 [19:04<03:36,  3.99it/s]
loss=0.0020 (0.0022): :  82% 3939/4800 [19:04<04:31,  3.17it/s]
loss=0.0023 (0.0022): :  82% 3939/4800 [19:04<04:31,  3.17it/s]
loss=0.0023 (0.0022): :  82% 3940/4800 [19:04<04:10,  3.43it/s]
loss=0.0022 (0.0022): :  82% 3940/4800 [19:04<04:10,  3.43it/s]
loss=0.0022 (0.0022): :  82% 3941/4800 [19:04<03:56,  3.63it/s]
loss=0.0021 (0.0022): :  82% 3941/4800 [19:05<03:56,  3.63it/s]
loss=0.0021 (0.0022): :  82% 3942/4800 [19:05<03:45,  3.80it/s]
loss=0.0023 (0.0022): :  82% 3942/4800 [19:05<03:45,  3.80it/s]
loss=0.0023 (0.0022): :  82% 3943/4800 [19:05<03:38,  3.92it/s]
loss=0.0027 (0.0022): :  82% 3943/4800 [19:05<03:38,  3.92it/s]
loss=0.0027 (0.0022): :  82% 3944/4800 [19:05<04:33,  3.13it/s]
loss=0.0020 (0.0022): :  82% 3944/4800 [19:05<04:33,  3.13it/s]
loss=0.0020 (0.0022): :  82% 3945/4800 [19:05<04:14,  3.36it/s]
loss=0.0025 (0.0022): :  82% 3945/4800 [19:06<04:14,  3.36it/s]
loss=0.0025 (0.0022): :  82% 3946/4800 [19:06<03:59,  3.57it/s]
loss=0.0020 (0.0022): :  82% 3946/4800 [19:06<03:59,  3.57it/s]
loss=0.0020 (0.0022): :  82% 3947/4800 [19:06<03:49,  3.72it/s]
loss=0.0022 (0.0022): :  82% 3947/4800 [19:06<03:49,  3.72it/s]
loss=0.0022 (0.0022): :  82% 3948/4800 [19:06<03:41,  3.85it/s]
loss=0.0021 (0.0022): :  82% 3948/4800 [19:07<03:41,  3.85it/s]
loss=0.0021 (0.0022): :  82% 3949/4800 [19:07<04:35,  3.09it/s]
loss=0.0022 (0.0022): :  82% 3949/4800 [19:07<04:35,  3.09it/s]
loss=0.0022 (0.0022): :  82% 3950/4800 [19:07<04:13,  3.35it/s]
loss=0.0021 (0.0022): :  82% 3950/4800 [19:07<04:13,  3.35it/s]
loss=0.0021 (0.0022): :  82% 3951/4800 [19:07<03:58,  3.56it/s]
loss=0.0022 (0.0022): :  82% 3951/4800 [19:07<03:58,  3.56it/s]
loss=0.0022 (0.0022): :  82% 3952/4800 [19:07<03:47,  3.73it/s]
loss=0.0022 (0.0022): :  82% 3952/4800 [19:08<03:47,  3.73it/s]
loss=0.0022 (0.0022): :  82% 3953/4800 [19:08<03:39,  3.85it/s]
loss=0.0023 (0.0022): :  82% 3953/4800 [19:08<03:39,  3.85it/s]
loss=0.0023 (0.0022): :  82% 3954/4800 [19:08<04:33,  3.10it/s]
loss=0.0020 (0.0022): :  82% 3954/4800 [19:08<04:33,  3.10it/s]
loss=0.0020 (0.0022): :  82% 3955/4800 [19:08<04:11,  3.36it/s]
loss=0.0023 (0.0022): :  82% 3955/4800 [19:09<04:11,  3.36it/s]
loss=0.0023 (0.0022): :  82% 3956/4800 [19:09<03:56,  3.57it/s]
loss=0.0022 (0.0022): :  82% 3956/4800 [19:09<03:56,  3.57it/s]
loss=0.0022 (0.0022): :  82% 3957/4800 [19:09<03:47,  3.71it/s]
loss=0.0020 (0.0022): :  82% 3957/4800 [19:09<03:47,  3.71it/s]
loss=0.0020 (0.0022): :  82% 3958/4800 [19:09<03:40,  3.81it/s]
loss=0.0022 (0.0022): :  82% 3958/4800 [19:10<03:40,  3.81it/s]
loss=0.0022 (0.0022): :  82% 3959/4800 [19:10<04:35,  3.06it/s]
loss=0.0020 (0.0022): :  82% 3959/4800 [19:10<04:35,  3.06it/s]
loss=0.0020 (0.0022): :  82% 3960/4800 [19:10<04:13,  3.31it/s]
loss=0.0023 (0.0022): :  82% 3960/4800 [19:10<04:13,  3.31it/s]
loss=0.0023 (0.0022): :  83% 3961/4800 [19:10<03:58,  3.52it/s]
loss=0.0021 (0.0022): :  83% 3961/4800 [19:10<03:58,  3.52it/s]
loss=0.0021 (0.0022): :  83% 3962/4800 [19:10<03:47,  3.68it/s]
loss=0.0021 (0.0022): :  83% 3962/4800 [19:11<03:47,  3.68it/s]
loss=0.0021 (0.0022): :  83% 3963/4800 [19:11<03:40,  3.79it/s]
loss=0.0024 (0.0022): :  83% 3963/4800 [19:11<03:40,  3.79it/s]
loss=0.0024 (0.0022): :  83% 3964/4800 [19:11<04:49,  2.89it/s]
loss=0.0020 (0.0022): :  83% 3964/4800 [19:11<04:49,  2.89it/s]
loss=0.0020 (0.0022): :  83% 3965/4800 [19:11<04:22,  3.18it/s]
loss=0.0019 (0.0022): :  83% 3965/4800 [19:12<04:22,  3.18it/s]
loss=0.0019 (0.0022): :  83% 3966/4800 [19:12<04:04,  3.42it/s]
loss=0.0020 (0.0022): :  83% 3966/4800 [19:12<04:04,  3.42it/s]
loss=0.0020 (0.0022): :  83% 3967/4800 [19:12<03:51,  3.60it/s]
loss=0.0023 (0.0022): :  83% 3967/4800 [19:12<03:51,  3.60it/s]
loss=0.0023 (0.0022): :  83% 3968/4800 [19:12<03:43,  3.73it/s]
loss=0.0016 (0.0022): :  83% 3968/4800 [19:13<03:43,  3.73it/s]
loss=0.0016 (0.0022): :  83% 3969/4800 [19:13<06:08,  2.26it/s]
loss=0.0025 (0.0022): :  83% 3969/4800 [19:13<06:08,  2.26it/s]
loss=0.0025 (0.0022): :  83% 3970/4800 [19:13<05:18,  2.61it/s]
loss=0.0020 (0.0022): :  83% 3970/4800 [19:13<05:18,  2.61it/s]
loss=0.0020 (0.0022): :  83% 3971/4800 [19:13<04:43,  2.93it/s]
loss=0.0026 (0.0022): :  83% 3971/4800 [19:14<04:43,  2.93it/s]
loss=0.0026 (0.0022): :  83% 3972/4800 [19:14<04:19,  3.20it/s]
loss=0.0020 (0.0022): :  83% 3972/4800 [19:14<04:19,  3.20it/s]
loss=0.0020 (0.0022): :  83% 3973/4800 [19:14<04:01,  3.42it/s]
loss=0.0019 (0.0022): :  83% 3973/4800 [19:14<04:01,  3.42it/s]
loss=0.0019 (0.0022): :  83% 3974/4800 [19:14<04:54,  2.81it/s]
loss=0.0021 (0.0022): :  83% 3974/4800 [19:15<04:54,  2.81it/s]
loss=0.0021 (0.0022): :  83% 3975/4800 [19:15<04:25,  3.11it/s]
loss=0.0021 (0.0022): :  83% 3975/4800 [19:15<04:25,  3.11it/s]
loss=0.0021 (0.0022): :  83% 3976/4800 [19:15<04:05,  3.35it/s]
loss=0.0026 (0.0022): :  83% 3976/4800 [19:15<04:05,  3.35it/s]
loss=0.0026 (0.0022): :  83% 3977/4800 [19:15<03:54,  3.51it/s]
loss=0.0026 (0.0022): :  83% 3977/4800 [19:15<03:54,  3.51it/s]
loss=0.0026 (0.0022): :  83% 3978/4800 [19:15<03:47,  3.62it/s]
loss=0.0020 (0.0022): :  83% 3978/4800 [19:16<03:47,  3.62it/s]
loss=0.0020 (0.0022): :  83% 3979/4800 [19:16<05:26,  2.51it/s]
loss=0.0019 (0.0022): :  83% 3979/4800 [19:16<05:26,  2.51it/s]
loss=0.0019 (0.0022): :  83% 3980/4800 [19:16<04:50,  2.82it/s]
loss=0.0022 (0.0022): :  83% 3980/4800 [19:17<04:50,  2.82it/s]
loss=0.0022 (0.0022): :  83% 3981/4800 [19:17<04:26,  3.08it/s]
loss=0.0022 (0.0022): :  83% 3981/4800 [19:17<04:26,  3.08it/s]
loss=0.0022 (0.0022): :  83% 3982/4800 [19:17<04:07,  3.30it/s]
loss=0.0021 (0.0022): :  83% 3982/4800 [19:17<04:07,  3.30it/s]
loss=0.0021 (0.0022): :  83% 3983/4800 [19:17<03:54,  3.49it/s]
loss=0.0020 (0.0022): :  83% 3983/4800 [19:18<03:54,  3.49it/s]
loss=0.0020 (0.0022): :  83% 3984/4800 [19:18<05:23,  2.52it/s]
loss=0.0020 (0.0022): :  83% 3984/4800 [19:18<05:23,  2.52it/s]
loss=0.0020 (0.0022): :  83% 3985/4800 [19:18<04:46,  2.84it/s]
loss=0.0022 (0.0022): :  83% 3985/4800 [19:18<04:46,  2.84it/s]
loss=0.0022 (0.0022): :  83% 3986/4800 [19:18<04:20,  3.12it/s]
loss=0.0024 (0.0022): :  83% 3986/4800 [19:18<04:20,  3.12it/s]
loss=0.0024 (0.0022): :  83% 3987/4800 [19:18<04:02,  3.35it/s]
loss=0.0026 (0.0022): :  83% 3987/4800 [19:19<04:02,  3.35it/s]
loss=0.0026 (0.0022): :  83% 3988/4800 [19:19<03:49,  3.54it/s]
loss=0.0021 (0.0022): :  83% 3988/4800 [19:19<03:49,  3.54it/s]
loss=0.0021 (0.0022): :  83% 3989/4800 [19:19<03:39,  3.69it/s]
loss=0.0019 (0.0022): :  83% 3989/4800 [19:19<03:39,  3.69it/s]
loss=0.0019 (0.0022): :  83% 3990/4800 [19:19<04:32,  2.98it/s]
loss=0.0027 (0.0022): :  83% 3990/4800 [19:20<04:32,  2.98it/s]
loss=0.0027 (0.0022): :  83% 3991/4800 [19:20<04:10,  3.24it/s]
loss=0.0027 (0.0022): :  83% 3991/4800 [19:20<04:10,  3.24it/s]
loss=0.0027 (0.0022): :  83% 3992/4800 [19:20<03:53,  3.45it/s]
loss=0.0026 (0.0022): :  83% 3992/4800 [19:20<03:53,  3.45it/s]
loss=0.0026 (0.0022): :  83% 3993/4800 [19:20<03:42,  3.63it/s]
loss=0.0021 (0.0022): :  83% 3993/4800 [19:20<03:42,  3.63it/s]
loss=0.0021 (0.0022): :  83% 3994/4800 [19:20<03:33,  3.77it/s]
loss=0.0020 (0.0022): :  83% 3994/4800 [19:21<03:33,  3.77it/s]
loss=0.0020 (0.0022): :  83% 3995/4800 [19:21<04:27,  3.01it/s]
loss=0.0026 (0.0022): :  83% 3995/4800 [19:21<04:27,  3.01it/s]
loss=0.0026 (0.0022): :  83% 3996/4800 [19:21<04:06,  3.26it/s]
loss=0.0020 (0.0022): :  83% 3996/4800 [19:21<04:06,  3.26it/s]
loss=0.0020 (0.0022): :  83% 3997/4800 [19:21<03:53,  3.44it/s]
loss=0.0029 (0.0022): :  83% 3997/4800 [19:22<03:53,  3.44it/s]
loss=0.0029 (0.0022): :  83% 3998/4800 [19:22<03:43,  3.59it/s]
loss=0.0017 (0.0022): :  83% 3998/4800 [19:22<03:43,  3.59it/s]
loss=0.0017 (0.0022): :  83% 3999/4800 [19:22<03:36,  3.69it/s]
loss=0.0023 (0.0022): :  83% 3999/4800 [19:22<03:36,  3.69it/s]
loss=0.0023 (0.0022): :  83% 4000/4800 [19:22<04:57,  2.69it/s]
loss=0.0024 (0.0022): :  83% 4000/4800 [19:23<04:57,  2.69it/s]
loss=0.0024 (0.0022): :  83% 4001/4800 [19:23<04:28,  2.97it/s]
loss=0.0022 (0.0022): :  83% 4001/4800 [19:23<04:28,  2.97it/s]
loss=0.0022 (0.0022): :  83% 4002/4800 [19:23<04:07,  3.22it/s]
loss=0.0020 (0.0022): :  83% 4002/4800 [19:23<04:07,  3.22it/s]
loss=0.0020 (0.0022): :  83% 4003/4800 [19:23<03:53,  3.41it/s]
loss=0.0023 (0.0022): :  83% 4003/4800 [19:23<03:53,  3.41it/s]
loss=0.0023 (0.0022): :  83% 4004/4800 [19:23<03:42,  3.58it/s]
loss=0.0023 (0.0022): :  83% 4004/4800 [19:24<03:42,  3.58it/s]
loss=0.0023 (0.0022): :  83% 4005/4800 [19:24<05:23,  2.46it/s]
loss=0.0017 (0.0022): :  83% 4005/4800 [19:24<05:23,  2.46it/s]
loss=0.0017 (0.0022): :  83% 4006/4800 [19:24<04:44,  2.79it/s]
loss=0.0023 (0.0022): :  83% 4006/4800 [19:25<04:44,  2.79it/s]
loss=0.0023 (0.0022): :  83% 4007/4800 [19:25<04:17,  3.08it/s]
loss=0.0018 (0.0022): :  83% 4007/4800 [19:25<04:17,  3.08it/s]
loss=0.0018 (0.0022): :  84% 4008/4800 [19:25<03:58,  3.32it/s]
loss=0.0022 (0.0022): :  84% 4008/4800 [19:25<03:58,  3.32it/s]
loss=0.0022 (0.0022): :  84% 4009/4800 [19:25<03:44,  3.52it/s]
